Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
John Fothergill,M,N,1712,1780,"Wensleydale, Yorkshire, England",Wensleydale,Yorkshire,England
John Foxcroft,M,N,,1790,,,,
John Free,M,N,1711,1791,England,,,England
John Fry and Co.,M,N,,,,,,
John Greenwood,M,N,1727,1792,"Boston, Massachusetts, America",Boston,Massachusetts,America
John Hammond,M,N,1734,,"Severnhead, Maryland, America",Severnhead,Maryland,America
John Hawkesworth,M,N,1715,1773,"London, Greater London, England",London,Greater London,England
John Hobart,M,N,1723,1793,,,,
John Holt,M,N,1721,1784,"Williamsburg, Virginia, America",Williamsburg,Virginia,America
John Hope,M,N,1725,1786,"Edinburgh, Scotland",Edinburgh,,Scotland
John Hughes,M,N,1712,1772,,,,
"John Hughes, Jr.",M,N,,1773,,,,
John Hunter,M,N,,,America,,,America
John Huske,M,N,1724,1773,"Portsmouth, New Hampshire, America",Portsmouth,New Hampshire,America
John Jacob Friis,M,N,1708,1793,"Odense, Denmark",Odense,,Denmark
John Kelly,M,N,1726,1772,England,,,England
John Kent,M,N,,,,,,
John Kirke,M,N,,,,,,
John Lining,M,N,1708,1760,"Lanarkshire, Scotland",,Lanarkshire,Scotland
John Madocks,M,N,1723,1794,England,,,England
John Mervin Nooth,M,N,1737,1828,England,,,England
John Michell,M,N,1724,1793,England,,,England
John Mills,M,N,,1784,England,,,England
John Montgomery,M,N,1722,1808,Ireland,,,Ireland
John Morgan,M,N,1735,1789,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
John Morton,M,N,1724,1777,"Ridley Township, Chester County, Pennsylvania, America","Ridley Township, Chester County",Pennsylvania,America
John Nourse,M,N,,1780,,,,
John Penn,M,N,1700,1746,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
John Perkins,M,N,1698,1781,"Lynn, Massachusetts, America",Lynn,Massachusetts,America
John Peter Miller,M,N,1709,1796,"Zweikirchen, Lower Bavaria, Germany",Zweikirchen,Lower Bavaria,Germany
John Pitt,M,N,,,,,,
John Pownall,M,N,1720,1795,,,,
John Pringle,M,N,1707,1772,"Roxburgh, Scotland",,Roxburgh,Scotland
John Read,M,Y,,,,,,
John Rice,M,N,,1763,"London, Greater London, England",London,Greater London,England
John Robertson,M,N,1712,1776,,,,
John Ross,M,N,1714,1776,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
John Sargent,M,N,1714,,"London, Greater London, England",London,Greater London,England
John Shippen,M,N,1741,1770,,,,
John Smith,M,N,1722,1771,"Burlington, New Jersey, America",Burlington,New Jersey,America
"John Swinton, Jr.",M,N,,1799,"Swinton, Berwickshire, Scotland",Swinton,Berwickshire,Scotland
John Temple,M,N,1732,1798,"Boston, Massachusetts, America",Boston,Massachusetts,America
John Trusler,M,N,1735,1820,"London, Greater London, England",London,Greater London,England
John Tunnicliff,M,N,,,England,,,England
John Tyler,M,Y,,,"Birmingham, West Midlands, England",Birmingham,West Midlands,England
John Walsh,M,N,,,,,,
John Walter,M,N,1739,1812,"London, Greater London, England",London,Greater London,England
John Waring,M,N,1716,1794,England,,,England
John Whitehurst,M,N,1713,1788,"Cheshire, England",,Cheshire,England
John Williams,M,N,,,,,,
John Williamson,M,N,,,Scotland,,,Scotland
John Winthrop,M,N,1714,1779,"Boston, Massachusetts, America",Boston,Massachusetts,America
John Wister,M,N,1708,1789,"Wald-Hilsbach, Baden, Germany","Wald-Hilsbach, Baden",,Germany
John Wright,M,N,,,,,,
John Zubly,M,N,1724,1781,,,,
Jonathan Folger,M,Y,1727,1812,,,,
Jonathan Potts,M,N,1745,1781,"Colebrookdale, Berks County, Pennsylvania, America","Colebrookdale, Berks County",Pennsylvania,America
Jonathan Shipley,M,N,1714,1788,"London, Greater London, England",London,Greater London,England
"Jonathan Williams, Jr.",M,N,1750,1815,"Boston, Massachusetts, America",Boston,Massachusetts,America
"Jonathan Williams, Sr.",M,N,1719,1796,"Boston, Massachusetts, America",Boston,Massachusetts,America
Joseph Browne,M,N,1700,1767,England,,,England
Joseph Chew,M,N,1720,1799,"Spotsylvania County, Virginia, America",Spotsylvania County,Virginia,America
Joseph England,M,N,,,,,,
Joseph-Étienne Bertier,M,N,1702,1783,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Aix-en-Provence,Provence-Alpes-Côte d'Azur,France
